_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
685,685,325679,NORMAN COOK JUNIOR PUBLIC SCHOOL,Toronto District School Board,725 DANFORTH RD,325679,725,725 Danforth Rd,M1K 1G4,Scarborough,Toronto,Norman Cook Junior Public School,30015906,MULTIPOINT (-79.2577951258558 43.7190391303319)
686,686,510159,NORMAN INGRAM PUBLIC SCHOOL,Toronto District School Board,50 DUNCAIRN RD,510159,50,50 Duncairn Rd,M3B 1C8,North York,Toronto,Norman Ingram Public School,442273,MULTIPOINT (-79.3496061486394 43.7399524524339)
687,687,7794390,NORSEMAN JUNIOR MIDDLE SCHOOL,Toronto District School Board,105 NORSEMAN ST,7794390,105,105 Norseman St,M8Z 2R1,Etobicoke,Toronto,Norseman Junior Middle School,7794393,MULTIPOINT (-79.5163297488864 43.6343052597247)
688,688,365117,NORTH AGINCOURT JUNIOR PUBLIC SCHOOL,Toronto District School Board,60 MORAN RD,365117,60,60 Moran Rd,M1S 2J3,Scarborough,Toronto,North Agincourt Junior Public School,105519,MULTIPOINT (-79.2762127949402 43.7964537061583)
689,689,3497653,NORTH ALBION COLLEGIATE INSTITUTE,Toronto District School Board,2580 KIPLING AVE,3497653,2580,2580 Kipling Ave,M9V 3B2,Etobicoke,Toronto,North Albion Collegiate Institute,3497654,MULTIPOINT (-79.5851427788123 43.7471415695057)
690,690,303840,NORTH BENDALE JUNIOR PUBLIC SCHOOL,Toronto District School Board,29 AVELINE CRES,303840,29,29 Aveline Cres,M1H 2P4,Scarborough,Toronto,North Bendale Junior Public School,108255,MULTIPOINT (-79.2478021030816 43.7705721088236)
691,691,321476,NORTH BRIDLEWOOD JUNIOR PUBLIC SCHOOL,Toronto District School Board,50 COLLINGSBROOK BLVD,321476,50,50 Collingsbrook Blvd,M1W 1L7,Scarborough,Toronto,North Bridlewood Public School,106384,MULTIPOINT (-79.3185870835038 43.788916355463)
692,692,9950376,NORTH EAST YEAR ROUND ALTERNATIVE CENTRE,Toronto District School Board,2900 DON MILLS RD E,9950376,2900,2900 Don Mills Rd E,M2J 3B6,North York,Toronto,Woodbine Junior High School,9950377,MULTIPOINT (-79.349385410988 43.7824288154923)
693,693,14073053,NORTH KIPLING JUNIOR MIDDLE SCHOOL,Toronto District School Board,2 ROWNTREE RD,14073053,2,2 Rowntree Rd,M9V 5C7,Etobicoke,Toronto,"North Kipling Junior Middle School, North Kipling Community Centre",30088407,MULTIPOINT (-79.5844719859096 43.7520919012962)
694,694,870542,NORTH PREPARATORY JUNIOR PUBLIC SCHOOL,Toronto District School Board,1100 SPADINA RD,870542,1100,1100 Spadina Rd,M5N 2M6,former Toronto,Toronto,North Preparatory Public School,1138559,MULTIPOINT (-79.4203748853603 43.7057655831012)
695,695,9602753,NORTH TORONTO CHRISTIAN SCHOOL,,255 YORKLAND BLVD,9602753,255,255 Yorkland Blvd,M2J 1S3,North York,Toronto,,9602752,MULTIPOINT (-79.3367506936917 43.7734330101075)
696,696,20097962,NORTH TORONTO COLLEGIATE INSTITUTE,Toronto District School Board,17 BROADWAY AVE,20097962,17,17 Broadway Ave,M4P 1T7,former Toronto,Toronto,,7632816,MULTIPOINT (-79.3966000753378 43.7098067339604)
