_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
1005,2299,339,ELMBROOK PARK,Park,Playground,2 ELMBROOK CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2299/index.html,"{""coordinates"": [[297990.0650689641, 4835621.340023403]], ""type"": ""MultiPoint""}"
1006,1085,712,MEMORIAL PARK - YORK,Park,None,22 LITTLE AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1085/index.html,"{""coordinates"": [[303141.7422500701, 4839995.453129744]], ""type"": ""MultiPoint""}"
1007,2349,433,GRACEFIELD PARK,Park,Playground,175 GRACEFIELD AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2349/index.html,"{""coordinates"": [[305525.66584789817, 4840949.536906645]], ""type"": ""MultiPoint""}"
1008,2043,136,BROOKWELL PARK,Park,"Basketball Court, Playground",44 STREAMDALE CRT,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2043/index.html,"{""coordinates"": [[305608.31492596254, 4845102.289165077]], ""type"": ""MultiPoint""}"
1009,2274,295,DUBRAY PARKETTE,Park,None,28 DUBRAY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2274/index.html,"{""coordinates"": [[306555.7877177522, 4843310.42146298]], ""type"": ""MultiPoint""}"
1010,831,467,HARWOOD PARK,Park,"Ball Diamond, Playground",51 LEIGH ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/831/index.html,"{""coordinates"": [[306641.68357042293, 4837401.7835143255]], ""type"": ""MultiPoint""}"
1011,2182,142,BURNHAMILL PARK,Park,Playground,379 MILL RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2182/index.html,"{""coordinates"": [[297891.39304163476, 4833574.087390868]], ""type"": ""MultiPoint""}"
1012,2640,393,GAFFNEY PARK,Park,"Outdoor Fitness Equipment, Playground",73 TERRY DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2640/index.html,"{""coordinates"": [[306032.90766828525, 4836937.338610763]], ""type"": ""MultiPoint""}"
1013,3521,331,EGLINTON RAVINE PARK,Park,None,2281 EGLINTON AVE E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/3521/index.html,"{""coordinates"": [[323181.4787655241, 4843313.979084243]], ""type"": ""MultiPoint""}"
1014,768,456,HALBERT PARK,Park,"Ball Diamond, Playground, Sports Field, Washroom",24 ROCKWOOD DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/768/index.html,"{""coordinates"": [[326446.76618373446, 4843242.3570213225]], ""type"": ""MultiPoint""}"
